Turtle_ID,Date,R_Eye,L_Eye,Inside_Mouth,Neck,Base_Front_Flippers,Base_Rear_Flippers,Along_Front_Flippers,Along_Rear_Flippers,Around_Tail,On_Carapace,On_Plastron,Other,Other location,Total- ,Balaz score ,Notes
2,,1,1,NA,1,10,4,5,NA,6,NA,NA,NA,NA,26,2,
4,,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,1,
5,,1,NA,NA,4,15,10,14,1,1,4,1,NA,NA,51,2,
6,,NA,NA,NA,NA,2,1,NA,NA,NA,NA,1,NA,NA,4,1,
26,,NA,NA,NA,NA,5,1,1,1,1,NA,NA,NA,NA,9,9,
30,,NA,NA,NA,2,6,4,10,1,NA,NA,5,NA,NA,28,2,
35,,NA,NA,NA,3,4,3,2,1,,NA,NA,NA,NA,13,2,
37,,NA,NA,NA,1,2,3,1,NA,NA,NA,NA,NA,NA,7,2,
38,,NA,NA,NA,1,2,3,1,NA,NA,NA,NA,NA,NA,7,2,
41,,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,5,1,
42,,1,1,NA,1,3,6,4,NA,1,NA,NA,NA,NA,17,2,
46,,NA,NA,NA,NA,N,NA,1,NA,NA,NA,NA,NA,NA,1,1,
48,,1,1,NA,4,9,15,4,3,2,NA,NA,NA,NA,39,2,
49,,NA,NA,NA,1,n,1,1,1,NA,1,NA,NA,NA,5,1,
54,,NA,NA,NA,4,6,20,4,1,1,NA,NA,NA,NA,36,2,
57,,NA,NA,NA,2,2,13,3,NA,NA,NA,NA,NA,NA,20,1,
60,,1,NA,NA,2,3,20,8,1,2,NA,NA,NA,NA,37,2,
65,,2,1,NA,6,11,8,7,1,NA,NA,3,NA,NA,39,3,
73,,2,2,NA,4,5,7,10,2,4,NA,NA,NA,NA,36,2,
74,,NA,1,NA,2,2,2,2,NA,NA,NA,NA,NA,NA,9,1,
75,,NA,NA,NA,NA,3,3,1,NA,NA,NA,NA,NA,NA,7,1,
77,,NA,NA,NA,1,2,13,5,NA,NA,NA,4,NA,NA,25,1,
78,,NA,NA,NA,2,2,7,3,1,1,NA,NA,NA,NA,16,1,
79,,1,NA,NA,2,8,7,9,NA,2,NA,NA,NA,NA,29,2,
